R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,Argentina,A,7,6,1,0,14,5,+9,13
2,West Germany,E,7,3,2,2,8,7,+1,8
3,France,C,7,4,2,1,12,6,+6,10
4,Belgium,B,7,2,2,3,12,15,−3,6
5,Brazil,D,5,4,1,0,10,1,+9,9
6,Mexico,B,5,3,2,0,6,2,+4,8
7,Spain,D,5,3,1,1,11,4,+7,7
8,England,F,5,2,1,2,7,3,+4,5
9,Denmark,E,4,3,0,1,10,6,+4,6
10,Soviet Union,C,4,2,1,1,12,5,+7,5
11,Morocco,F,4,1,2,1,3,2,+1,4
12,Italy,A,4,1,2,1,5,6,−1,4
13,Paraguay,B,4,1,2,1,4,6,−2,4
14,Poland,F,4,1,1,2,1,7,−6,3
15,Bulgaria,A,4,0,2,2,2,6,−4,2
16,Uruguay,E,4,0,2,2,2,8,−6,2
17,Portugal,F,3,1,0,2,2,4,−2,2
18,Hungary,C,3,1,0,2,2,9,−7,2
19,Scotland,E,3,0,1,2,1,3,−2,1
20,South Korea,A,3,0,1,2,4,7,−3,1
21,Northern Ireland,D,3,0,1,2,2,6,−4,1
22,Algeria,D,3,0,1,2,1,5,−4,1
23,Iraq,B,3,0,0,3,1,4,−3,0
24,Canada,C,3,0,0,3,0,5,−5,0
